# Source: openpowerlifting.org rankings, filter "Raw+Wraps", all classes, all
# sexes, sorted by Dots, top 300 all-time. Captured 2026-09-10. Units as the
# site displayed them: POUNDS.
#
# Captured programmatically via scripts/fetch_openpowerlifting.py from the
# OpenPowerlifting API. Used to bound human performance so validation
# ceilings and ratios are grounded in empirical meet data.
rank,lifter,fed,date,sex,age,equip,bodyweight_lb,squat_lb,bench_lb,deadlift_lb,total_lb,dots
239,Shelby Loggins,IPL,2024-11-01,F,28,Raw,166.6,518.1,297.6,507.0,1322.7,581.94
240,Angelo Fortino,AMP,2025-10-11,M,32,Raw,182.5,711.0,391.3,793.6,1895.9,581.36
241,Chandler Babb,IPF,2025-06-08,F,32,Raw,152.0,440.9,270.0,545.6,1256.5,581.35
242,Laura Vogelsang,WRPF,2022-02-12,F,31,Wraps,188.9,578.7,292.1,534.6,1405.4,581.1
243,Micaela Petrigliano,AAP,2025-08-29,F,31,Wraps,151.0,518.1,248.0,485.0,1251.1,580.96
244,Sergey Akhlestin,NAP,2021-04-03,M,31,Wraps,243.6,848.7,462.9,854.3,2165.9,580.91
245,Josh Lentz,USPA,2019-10-12,M,31,Raw,215.8,766.1,551.1,744.0,2061.2,580.9
246,Luke Nall,WRPF,2023-10-28,M,28,Raw,342.3,953.5,611.7,837.7,2402.9,580.77
247,Tina Wecker,GPU,2026-04-10,F,27,Wraps,152.3,507.0,275.5,474.0,1256.5,580.63
248,Gerald Dionio,WRPF,2022-07-29,M,28,Wraps,148.6,600.7,385.8,672.4,1658.9,580.61
249,Timothy Monigatti,NZPF,2024-09-16,M,27,Raw,177.7,684.5,407.8,771.6,1863.9,580.46
250,Husameddin Ateyia,WRPF,2023-05-07,M,28,Raw,240.8,848.7,501.5,804.7,2154.9,580.44
251,Shawn Doyle,ProRaw,2017-10-15,M,32,Wraps,343.2,959.0,573.2,870.8,2403.0,580.37
252,Marie-José van Daal,IPF,2026-06-13,F,24~,Raw,145.6,435.4,275.5,512.5,1223.4,580.27
253,Mark Miller #1,RPS,2017-11-11,M,32,Wraps,257.2,881.8,512.5,810.2,2204.5,579.83
254,Logan Chapman,RPS,2020-11-14,M,25,Wraps,341.9,1030.6,545.6,821.2,2397.4,579.61
255,Stanislav Shvetsov,WRPF,2015-12-03,M,27,Wraps,257.5,892.8,551.1,760.6,2204.5,579.59
256,Daniel Clements,USAPL,2023-09-14,M,27,Raw,147.1,573.2,358.2,712.1,1643.5,579.22
257,Sean Noriega,AMP,2025-04-03,M,28,Raw,182.8,677.9,462.9,749.5,1890.3,579.2
258,Becki Pierotti,XPS,2020-11-21,F,0,Wraps,133.8,475.0,235.0,450.0,1160.0,579.11
259,Micah Marino,WRPF,2021-02-20,M,0,Wraps,181.0,688.9,440.9,749.5,1879.3,579.07
260,Bobbie Butters,IPF,2024-03-15,F,29,Raw,117.3,402.3,242.5,418.8,1063.6,578.93
261,Cassidy Conaghan,CPU,2026-06-12,F,26,Raw,101.5,363.7,187.4,407.8,958.9,578.91
262,Joseph Whittaker,WRPF-AUS,2022-09-11,M,36,Wraps,305.1,953.5,567.7,799.1,2320.3,578.66
263,Edward Blair,USPA,2021-10-23,M,26,Wraps,219.5,832.2,574.3,661.4,2067.9,578.36
264,Gregory Pearson,BPU,2026-07-08,M,18,Wraps,195.5,755.0,457.4,771.6,1984.0,578.12
265,Celine Crum,AMP,2025-04-03,F,26,Raw,151.9,471.8,281.1,496.0,1248.9,578.02
266,Anuzhka Cedron,WRPF-Colombia,2026-05-08,F,32,Raw,158.5,485.0,286.6,507.0,1278.6,577.89
267,Zebulun Drake,USPC,2024-11-23,M,30,Raw,313.5,881.8,551.1,901.7,2334.6,577.83
268,Graham Hicks,ProRaw,2019-11-02,M,33~,Wraps,361.7,970.0,595.2,859.8,2425.0,577.69
269,Maksym Potemkin,WPF-KRAWA,2023-08-30,M,30,Wraps,242.3,793.6,562.1,793.6,2149.3,577.66
270,Sovannphaktra Pal,FFForce,2025-12-17,F,34,Raw,125.0,413.3,225.9,468.4,1107.6,577.64
271,Chris Bridgeford,WRPF,2017-08-25,M,23,Wraps,240.7,837.7,474.0,832.2,2143.9,577.57
272,Sergey Fedosienko,FPR,2015-12-24,M,33,Raw,128.9,499.3,375.9,601.8,1477.0,577.54
273,John Kuc,AAU,1972-11-10,M,25,Wraps,322.0,905.0,600.0,845.0,2350.0,577.36
274,Joshua Genever,CAPO,2026-08-06,M,26,Wraps,181.0,727.5,462.9,683.4,1873.8,577.3
275,Ján Špais,XPC-Poland,2025-05-24,M,0,Raw,195.1,661.4,540.1,749.5,1951.0,577.16
276,Ernie Lilliebridge Jr,IPA,2015-02-28,M,27,Wraps,198.4,810.2,451.9,705.4,1967.5,577.09
277,Dominique Fuqua,AMP,2025-04-03,M,33,Raw,201.8,716.5,485.0,782.6,1984.1,577.08
278,Amélie Picher-Plante,CPU,2026-03-14,F,29~,Raw,102.4,341.7,205.0,415.5,962.2,576.99
279,Joshua Fleming #2,RPS,2024-07-13,M,32,Raw,272.2,875.0,530.0,830.0,2235.0,576.82
280,Matt Mitchell #1,SPF,2019-05-04,M,27,Wraps,242.0,925.0,515.0,705.0,2145.0,576.71
281,Nicole Moore,WRPF,2021-04-24,F,34,Wraps,164.2,501.5,253.5,545.6,1300.6,576.69
282,Dan Stewart,WPC,2019-09-21,M,26,Wraps,241.7,881.8,523.6,738.5,2143.9,576.67
283,Keri Smith #1,PLU,2026-03-14,F,32,Raw,130.3,418.8,253.5,462.9,1135.2,576.4
284,Maksim Svintsov,WPC,2016-08-10,M,28,Wraps,222.4,771.6,529.1,771.6,2072.3,576.36
285,William Crozier,GPC-AUS,2021-04-10,M,31,Wraps,242.3,837.7,468.4,837.7,2143.8,576.18
286,Gavin Adin,NAPF,2024-08-04,M,26,Raw,202.9,751.7,490.5,744.0,1986.2,576.12
287,Dawson Miller,RPS,2025-12-06,M,25,Raw,197.9,760.6,429.9,771.6,1962.1,576.12
288,Laura Sancho,GPU,2024-03-01,F,0,Raw,177.0,485.0,264.5,600.7,1350.2,576.06
289,Ayngelia Star Ara,USPC,2026-06-27,F,44,Raw,147.9,416.6,288.8,520.3,1225.7,575.99
290,Anja Zosso,GPU,2023-05-21,F,30,Wraps,162.0,518.1,286.6,485.0,1289.7,575.95
291,Carina Chavez,WRPF-Argentina,2026-06-25,F,33,Raw,126.5,440.9,187.4,485.0,1113.3,575.94
292,Rhyss Keane,WRPF-AUS,2020-02-29,M,29,Wraps,307.7,914.9,556.6,843.2,2314.7,575.88
293,Chris Duffin,APA,2014-10-04,M,37,Wraps,220.4,881.8,474.0,705.4,2061.2,575.58
294,Brandon Pitre #1,AMP,2025-04-03,M,29,Raw,204.0,699.9,468.4,821.2,1989.5,575.5
295,Burkit Muratkhanuly,WRPF,2019-04-27,M,23,Wraps,241.4,826.7,518.1,793.6,2138.4,575.49
296,Oleksandr Denisov #1,WRPF,2017-10-28,M,25,Wraps,207.6,815.7,462.9,727.5,2006.1,575.46
297,Mélanie Girard,XPC,2019-03-02,F,39,Wraps,120.2,415.0,250.0,410.0,1075.0,575.4
298,Freddie Isherwood,ABS,2026-02-14,M,26,Raw,238.3,837.7,457.4,832.2,2127.3,575.35
299,Cyril Heywood,NZ-UA,2025-11-15,M,35,Wraps,306.4,892.8,529.1,887.3,2309.2,575.21
300,Patrick Horvath,PLU,2024-11-09,M,23,Raw,210.4,705.4,407.8,903.9,2017.1,575.07
